Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request hour,,,,,,,,
3459,Airport,9,Trip Completed,42564.71,42564.73,17.00,,,,,,,,
3774,Airport,9,Trip Completed,42564.86,42564.89,20.00,,,,,,,,
4023,City,9,Trip Completed,42565.00,42565.04,23.00,,,,,,,,
4117,City,9,Trip Completed,42565.18,42565.21,4.00,,,,,,,,
4880,Airport,9,Trip Completed,42565.75,42565.79,17.00,,,,,,,,
5568,Airport,9,Trip Completed,42566.24,42566.27,5.00,,,,,,,,
5994,Airport,9,Trip Completed,42566.49,42566.52,11.00,,,,,,,,
1809,Airport,10,Trip Completed,42563.38,42563.42,9.00,,,,,,,,
2064,Airport,10,Trip Completed,42563.63,42563.68,15.00,,,,,,,,
3210,City,10,Trip Completed,42564.41,42564.45,9.00,,,,,,,,
4350,City,10,Trip Completed,42565.31,42565.35,7.00,,,,,,,,
4713,City,10,Trip Completed,42565.56,42565.59,13.00,,,,,,,,
5629,Airport,10,Trip Completed,42566.27,42566.31,6.00,,,,,,,,
6157,Airport,10,Trip Completed,42566.69,42566.74,16.00,,,,,,,,
2030,City,11,Trip Completed,42563.59,42563.63,14.00,,,,,,,,
3226,City,11,Trip Completed,42564.42,42564.46,10.00,,,,,,,,
3353,City,11,Trip Completed,42564.56,42564.59,13.00,,,,,,,,
4293,City,11,Trip Completed,42565.28,42565.30,6.00,,,,,,,,
4936,City,11,Trip Completed,42565.77,42565.80,18.00,,,,,,,,
5661,Airport,11,Trip Completed,42566.30,42566.33,7.00,,,,,,,,
5778,City,11,Trip Completed,42566.35,42566.38,8.00,,,,,,,,
6425,Airport,11,Trip Completed,42566.82,42566.85,19.00,,,,,,,,
45,Airport,12,Trip Completed,42562.14,42562.17,3.00,,,,,,,,
264,City,12,Trip Completed,42562.29,42562.32,6.00,,,,,,,,
1183,City,12,Trip Completed,42562.88,42562.90,21.00,,,,,,,,
1536,Airport,12,Trip Completed,42563.25,42563.29,5.00,,,,,,,,
2437,City,12,Trip Completed,42563.85,42563.89,20.00,,,,,,,,
2641,Airport,12,Trip Completed,42563.94,42563.96,22.00,,,,,,,,
4077,Airport,12,Trip Completed,42565.09,42565.13,2.00,,,,,,,,
4610,City,12,Trip Completed,42565.44,42565.49,10.00,,,,,,,,
5066,Airport,12,Trip Completed,42565.81,42565.84,19.00,,,,,,,,
5666,Airport,12,Trip Completed,42566.30,42566.34,7.00,,,,,,,,
5923,City,12,Trip Completed,42566.42,42566.45,10.00,,,,,,,,
6367,City,12,Trip Completed,42566.79,42566.82,19.00,,,,,,,,
155,City,13,Trip Completed,42562.23,42562.27,5.00,,,,,,,,
310,Airport,13,Trip Completed,42562.31,42562.35,7.00,,,,,,,,
607,City,13,Trip Completed,42562.49,42562.53,11.00,,,,,,,,
1012,City,13,Trip Completed,42562.80,42562.83,19.00,,,,,,,,
1696,Airport,13,Trip Completed,42563.33,42563.36,8.00,,,,,,,,
3076,City,13,Trip Completed,42564.34,42564.38,8.00,,,,,,,,
4198,Airport,13,Trip Completed,42565.23,42565.28,5.00,,,,,,,,
4627,City,13,Trip Completed,42565.47,42565.50,11.00,,,,,,,,
5289,City,13,Trip Completed,42565.91,42565.93,21.00,,,,,,,,
5495,Airport,13,Trip Completed,42566.21,42566.25,5.00,,,,,,,,
6656,Airport,13,Trip Completed,42566.92,42566.95,22.00,,,,,,,,
139,Airport,14,Trip Completed,42562.22,42562.26,5.00,,,,,,,,
215,City,14,Trip Completed,42562.26,42562.30,6.00,,,,,,,,
1816,City,14,Trip Completed,42563.39,42563.42,9.00,,,,,,,,
2505,Airport,14,Trip Completed,42563.88,42563.93,21.00,,,,,,,,
3346,City,14,Trip Completed,42564.54,42564.58,13.00,,,,,,,,
5294,City,14,Trip Completed,42565.91,42565.93,21.00,,,,,,,,
6226,Airport,14,Trip Completed,42566.73,42566.77,17.00,,,,,,,,
6733,Airport,14,Trip Completed,42566.98,42567.03,23.00,,,,,,,,
1027,Airport,15,Trip Completed,42562.80,42562.85,19.00,,,,,,,,
2675,Airport,15,Trip Completed,42563.99,42564.02,23.00,,,,,,,,
3200,City,15,Trip Completed,42564.40,42564.44,9.00,,,,,,,,
3865,City,15,Trip Completed,42564.91,42564.93,21.00,,,,,,,,
4468,City,15,Trip Completed,42565.36,42565.39,8.00,,,,,,,,
5163,Airport,15,Trip Completed,42565.86,42565.88,20.00,,,,,,,,
6009,City,15,Trip Completed,42566.52,42566.56,12.00,,,,,,,,
6448,Airport,15,Trip Completed,42566.84,42566.86,20.00,,,,,,,,
591,City,16,Trip Completed,42562.48,42562.52,11.00,,,,,,,,
709,City,16,Trip Completed,42562.59,42562.63,14.00,,,,,,,,
1167,Airport,16,Trip Completed,42562.87,42562.91,20.00,,,,,,,,
2661,Airport,16,Trip Completed,42563.97,42564.02,23.00,,,,,,,,
2808,City,16,Trip Completed,42564.21,42564.25,5.00,,,,,,,,
3258,Airport,16,Trip Completed,42564.43,42564.45,10.00,,,,,,,,
3413,Airport,16,Trip Completed,42564.65,42564.70,15.00,,,,,,,,
3939,Airport,16,Trip Completed,42564.94,42564.96,22.00,,,,,,,,
4125,City,16,Trip Completed,42565.19,42565.24,4.00,,,,,,,,
4457,City,16,Trip Completed,42565.36,42565.39,8.00,,,,,,,,
4728,City,16,Trip Completed,42565.59,42565.63,14.00,,,,,,,,
5347,Airport,16,Trip Completed,42565.95,42566.00,22.00,,,,,,,,
6147,City,16,Trip Completed,42566.67,42566.73,16.00,,,,,,,,
6496,Airport,16,Trip Completed,42566.86,42566.90,20.00,,,,,,,,
634,City,17,Trip Completed,42562.52,42562.55,12.00,,,,,,,,
939,Airport,17,Trip Completed,42562.77,42562.81,18.00,,,,,,,,
2628,Airport,17,Trip Completed,42563.92,42563.98,22.00,,,,,,,,
3021,City,17,Trip Completed,42564.31,42564.35,7.00,,,,,,,,
4743,City,17,Trip Completed,42565.62,42565.65,14.00,,,,,,,,
4981,City,17,Trip Completed,42565.78,42565.82,18.00,,,,,,,,
5367,Airport,17,Trip Completed,42565.98,42566.02,23.00,,,,,,,,
5471,Airport,17,Trip Completed,42566.20,42566.24,4.00,,,,,,,,
5988,Airport,17,Trip Completed,42566.49,42566.54,11.00,,,,,,,,
6477,Airport,17,Trip Completed,42566.85,42566.88,20.00,,,,,,,,
499,City,18,Trip Completed,42562.40,42562.43,9.00,,,,,,,,
1147,Airport,18,Trip Completed,42562.86,42562.89,20.00,,,,,,,,
1410,Airport,18,Trip Completed,42563.13,42563.19,3.00,,,,,,,,
1804,Airport,18,Trip Completed,42563.38,42563.41,9.00,,,,,,,,
1949,Airport,18,Trip Completed,42563.48,42563.51,11.00,,,,,,,,
2713,City,18,Trip Completed,42564.07,42564.11,1.00,,,,,,,,
2845,City,18,Trip Completed,42564.23,42564.26,5.00,,,,,,,,
3943,Airport,18,Trip Completed,42564.94,42564.98,22.00,,,,,,,,
4792,City,18,Trip Completed,42565.70,42565.73,16.00,,,,,,,,
5207,Airport,18,Trip Completed,42565.87,42565.91,20.00,,,,,,,,
5890,City,18,Trip Completed,42566.41,42566.46,9.00,,,,,,,,
494,City,19,Trip Completed,42562.40,42562.42,9.00,,,,,,,,
1485,City,19,Trip Completed,42563.22,42563.27,5.00,,,,,,,,
2042,City,19,Trip Completed,42563.60,42563.63,14.00,,,,,,,,
2561,Airport,19,Trip Completed,42563.90,42563.95,21.00,,,,,,,,
3813,Airport,19,Trip Completed,42564.88,42564.91,21.00,,,,,,,,
4260,Airport,19,Trip Completed,42565.26,42565.29,6.00,,,,,,,,
4395,City,19,Trip Completed,42565.33,42565.37,8.00,,,,,,,,
5919,City,19,Trip Completed,42566.42,42566.46,10.00,,,,,,,,
6002,Airport,19,Trip Completed,42566.50,42566.54,12.00,,,,,,,,
468,City,20,Trip Completed,42562.39,42562.42,9.00,,,,,,,,
693,Airport,20,Trip Completed,42562.58,42562.63,13.00,,,,,,,,
1178,City,20,Trip Completed,42562.88,42562.92,21.00,,,,,,,,
2103,City,20,Trip Completed,42563.67,42563.72,16.00,,,,,,,,
2292,Airport,20,Trip Completed,42563.78,42563.81,18.00,,,,,,,,
3339,City,20,Trip Completed,42564.53,42564.56,12.00,,,,,,,,
3694,City,20,Trip Completed,42564.81,42564.86,19.00,,,,,,,,
4469,City,20,Trip Completed,42565.36,42565.41,8.00,,,,,,,,
6432,City,20,Trip Completed,42566.83,42566.85,19.00,,,,,,,,
1895,City,21,Trip Completed,42563.43,42563.45,10.00,,,,,,,,
1981,Airport,21,Trip Completed,42563.52,42563.54,12.00,,,,,,,,
3744,Airport,21,Trip Completed,42564.85,42564.89,20.00,,,,,,,,
4433,Airport,21,Trip Completed,42565.35,42565.38,8.00,,,,,,,,
6039,Airport,21,Trip Completed,42566.55,42566.57,13.00,,,,,,,,
6543,City,21,Trip Completed,42566.87,42566.93,20.00,,,,,,,,
110,City,22,Trip Completed,42562.21,42562.25,5.00,,,,,,,,
362,City,22,Trip Completed,42562.33,42562.39,8.00,,,,,,,,
666,Airport,22,Trip Completed,42562.54,42562.57,13.00,,,,,,,,
926,City,22,Trip Completed,42562.77,42562.82,18.00,,,,,,,,
1180,Airport,22,Trip Completed,42562.88,42562.93,21.00,,,,,,,,
1900,City,22,Trip Completed,42563.44,42563.49,10.00,,,,,,,,
2506,City,22,Trip Completed,42563.88,42563.90,21.00,,,,,,,,
3064,City,22,Trip Completed,42564.33,42564.37,8.00,,,,,,,,
3327,Airport,22,Trip Completed,42564.52,42564.56,12.00,,,,,,,,
3601,City,22,Trip Completed,42564.78,42564.81,18.00,,,,,,,,
4768,Airport,22,Trip Completed,42565.65,42565.70,15.00,,,,,,,,
5142,City,22,Trip Completed,42565.85,42565.87,20.00,,,,,,,,
5366,Airport,22,Trip Completed,42565.98,42566.01,23.00,,,,,,,,
5575,City,22,Trip Completed,42566.25,42566.28,5.00,,,,,,,,
5902,City,22,Trip Completed,42566.41,42566.44,9.00,,,,,,,,
6694,Airport,22,Trip Completed,42566.95,42566.97,22.00,,,,,,,,
523,Airport,23,Trip Completed,42562.41,42562.44,9.00,,,,,,,,
747,City,23,Trip Completed,42562.66,42562.70,15.00,,,,,,,,
1371,Airport,23,Trip Completed,42563.02,42563.06,0.00,,,,,,,,
1553,City,23,Trip Completed,42563.26,42563.30,6.00,,,,,,,,
1692,Airport,23,Trip Completed,42563.33,42563.38,7.00,,,,,,,,
2114,City,23,Trip Completed,42563.69,42563.72,16.00,,,,,,,,
2742,City,23,Trip Completed,42564.13,42564.16,3.00,,,,,,,,
4273,City,23,Trip Completed,42565.26,42565.29,6.00,,,,,,,,
4668,City,23,Trip Completed,42565.52,42565.57,12.00,,,,,,,,
5425,City,23,Trip Completed,42566.10,42566.13,2.00,,,,,,,,
5488,City,23,Trip Completed,42566.20,42566.25,4.00,,,,,,,,
5781,City,23,Trip Completed,42566.36,42566.40,8.00,,,,,,,,
5966,Airport,23,Trip Completed,42566.45,42566.50,10.00,,,,,,,,
6122,City,23,Trip Completed,42566.64,42566.69,15.00,,,,,,,,
357,Airport,24,Trip Completed,42562.33,42562.38,8.00,,,,,,,,
1068,City,24,Trip Completed,42562.83,42562.87,19.00,,,,,,,,
2689,Airport,24,Trip Completed,42564.02,42564.08,0.00,,,,,,,,
2791,City,24,Trip Completed,42564.21,42564.23,4.00,,,,,,,,
3321,City,24,Trip Completed,42564.52,42564.56,12.00,,,,,,,,
3423,Airport,24,Trip Completed,42564.66,42564.70,15.00,,,,,,,,
3761,Airport,24,Trip Completed,42564.86,42564.90,20.00,,,,,,,,
4140,City,24,Trip Completed,42565.20,42565.25,4.00,,,,,,,,
4656,City,24,Trip Completed,42565.50,42565.53,12.00,,,,,,,,
4931,Airport,24,Trip Completed,42565.77,42565.79,18.00,,,,,,,,
5268,City,24,Trip Completed,42565.90,42565.94,21.00,,,,,,,,
5811,City,24,Trip Completed,42566.37,42566.39,8.00,,,,,,,,
6139,Airport,24,Trip Completed,42566.66,42566.69,15.00,,,,,,,,
6333,Airport,24,Trip Completed,42566.78,42566.83,18.00,,,,,,,,
773,City,25,Trip Completed,42562.68,42562.72,16.00,,,,,,,,
1123,City,25,Trip Completed,42562.85,42562.89,20.00,,,,,,,,
2667,Airport,25,Trip Completed,42563.98,42564.03,23.00,,,,,,,,
2833,City,25,Trip Completed,42564.23,42564.26,5.00,,,,,,,,
3396,City,25,Trip Completed,42564.62,42564.66,14.00,,,,,,,,
3590,City,25,Trip Completed,42564.77,42564.81,18.00,,,,,,,,
3762,City,25,Trip Completed,42564.86,42564.89,20.00,,,,,,,,
4566,City,25,Trip Completed,42565.41,42565.43,9.00,,,,,,,,
4862,City,25,Trip Completed,42565.73,42565.78,17.00,,,,,,,,
5564,Airport,25,Trip Completed,42566.24,42566.29,5.00,,,,,,,,
6187,City,25,Trip Completed,42566.72,42566.76,17.00,,,,,,,,
6642,City,25,Trip Completed,42566.92,42566.95,22.00,,,,,,,,
322,City,26,Trip Completed,42562.31,42562.34,7.00,,,,,,,,
793,City,26,Trip Completed,42562.71,42562.75,17.00,,,,,,,,
898,Airport,26,Trip Completed,42562.76,42562.80,18.00,,,,,,,,
1258,City,26,Trip Completed,42562.91,42562.96,21.00,,,,,,,,
2832,City,26,Trip Completed,42564.22,42564.26,5.00,,,,,,,,
3139,City,26,Trip Completed,42564.37,42564.39,8.00,,,,,,,,
3438,City,26,Trip Completed,42564.68,42564.72,16.00,,,,,,,,
3966,Airport,26,Trip Completed,42564.95,42564.98,22.00,,,,,,,,
6401,Airport,26,Trip Completed,42566.81,42566.85,19.00,,,,,,,,
204,City,27,Trip Completed,42562.25,42562.28,6.00,,,,,,,,
632,Airport,27,Trip Completed,42562.51,42562.55,12.00,,,,,,,,
763,City,27,Trip Completed,42562.68,42562.73,16.00,,,,,,,,
1786,Airport,27,Trip Completed,42563.38,42563.42,9.00,,,,,,,,
1968,City,27,Trip Completed,42563.51,42563.53,12.00,,,,,,,,
2088,Airport,27,Trip Completed,42563.66,42563.71,15.00,,,,,,,,
2473,Airport,27,Trip Completed,42563.86,42563.89,20.00,,,,,,,,
2869,Airport,27,Trip Completed,42564.24,42564.27,5.00,,,,,,,,
3742,Airport,27,Trip Completed,42564.85,42564.87,20.00,,,,,,,,
4440,Airport,27,Trip Completed,42565.35,42565.38,8.00,,,,,,,,
5234,City,27,Trip Completed,42565.88,42565.91,21.00,,,,,,,,
6354,Airport,27,Trip Completed,42566.79,42566.82,18.00,,,,,,,,
6638,City,27,Trip Completed,42566.92,42566.97,21.00,,,,,,,,
84,City,28,Trip Completed,42562.20,42562.23,4.00,,,,,,,,
1199,City,28,Trip Completed,42562.89,42562.91,21.00,,,,,,,,
1676,Airport,28,Trip Completed,42563.32,42563.36,7.00,,,,,,,,
2774,City,28,Trip Completed,42564.19,42564.22,4.00,,,,,,,,
3220,Airport,28,Trip Completed,42564.41,42564.43,9.00,,,,,,,,
3718,Airport,28,Trip Completed,42564.83,42564.87,19.00,,,,,,,,
4904,Airport,28,Trip Completed,42565.75,42565.79,18.00,,,,,,,,
6527,Airport,28,Trip Completed,42566.87,42566.91,20.00,,,,,,,,
6710,City,28,Trip Completed,42566.96,42567.01,23.00,,,,,,,,
1584,Airport,29,Trip Completed,42563.27,42563.30,6.00,,,,,,,,
1966,Airport,29,Trip Completed,42563.50,42563.55,12.00,,,,,,,,
2827,City,29,Trip Completed,42564.22,42564.26,5.00,,,,,,,,
2945,Airport,29,Trip Completed,42564.27,42564.31,6.00,,,,,,,,
3365,City,29,Trip Completed,42564.57,42564.62,13.00,,,,,,,,
3548,Airport,29,Trip Completed,42564.76,42564.80,18.00,,,,,,,,
3753,City,29,Trip Completed,42564.85,42564.90,20.00,,,,,,,,
4569,Airport,29,Trip Completed,42565.41,42565.45,9.00,,,,,,,,
6309,Airport,29,Trip Completed,42566.77,42566.82,18.00,,,,,,,,
6437,City,29,Trip Completed,42566.83,42566.85,19.00,,,,,,,,
517,Airport,30,Trip Completed,42562.41,42562.43,9.00,,,,,,,,
1406,Airport,30,Trip Completed,42563.13,42563.16,3.00,,,,,,,,
1643,Airport,30,Trip Completed,42563.30,42563.34,7.00,,,,,,,,
2108,Airport,30,Trip Completed,42563.68,42563.70,16.00,,,,,,,,
2647,City,30,Trip Completed,42563.95,42563.97,22.00,,,,,,,,
3129,City,30,Trip Completed,42564.36,42564.40,8.00,,,,,,,,
3738,Airport,30,Trip Completed,42564.84,42564.87,20.00,,,,,,,,
4422,Airport,30,Trip Completed,42565.34,42565.38,8.00,,,,,,,,
4790,City,30,Trip Completed,42565.70,42565.75,16.00,,,,,,,,
5496,City,30,Trip Completed,42566.21,42566.23,4.00,,,,,,,,
6484,Airport,30,Trip Completed,42566.85,42566.88,20.00,,,,,,,,
6731,Airport,30,Trip Completed,42566.97,42567.01,23.00,,,,,,,,
629,Airport,31,Trip Completed,42562.51,42562.54,12.00,,,,,,,,
745,Airport,31,Trip Completed,42562.66,42562.70,15.00,,,,,,,,
1064,City,31,Trip Completed,42562.83,42562.85,19.00,,,,,,,,
1886,Airport,31,Trip Completed,42563.42,42563.44,10.00,,,,,,,,
5608,Airport,31,Trip Completed,42566.26,42566.30,6.00,,,,,,,,
5877,City,31,Trip Completed,42566.40,42566.42,9.00,,,,,,,,
6100,Airport,31,Trip Completed,42566.61,42566.65,14.00,,,,,,,,
6659,Airport,31,Trip Completed,42566.93,42566.96,22.00,,,,,,,,
2162,Airport,32,Trip Completed,42563.73,42563.77,17.00,,,,,,,,
3294,Airport,32,Trip Completed,42564.47,42564.51,11.00,,,,,,,,
3686,City,32,Trip Completed,42564.81,42564.86,19.00,,,,,,,,
4784,City,32,Trip Completed,42565.70,42565.72,16.00,,,,,,,,
5896,City,32,Trip Completed,42566.41,42566.44,9.00,,,,,,,,
6190,City,32,Trip Completed,42566.72,42566.75,17.00,,,,,,,,
6551,City,32,Trip Completed,42566.88,42566.93,21.00,,,,,,,,
145,City,33,Trip Completed,42562.23,42562.28,5.00,,,,,,,,
735,City,33,Trip Completed,42562.64,42562.69,15.00,,,,,,,,
918,Airport,33,Trip Completed,42562.77,42562.79,18.00,,,,,,,,
1478,City,33,Trip Completed,42563.22,42563.26,5.00,,,,,,,,
1957,City,33,Trip Completed,42563.49,42563.54,11.00,,,,,,,,
3097,City,33,Trip Completed,42564.34,42564.38,8.00,,,,,,,,
3981,Airport,33,Trip Completed,42564.97,42564.99,23.00,,,,,,,,
4175,City,33,Trip Completed,42565.22,42565.26,5.00,,,,,,,,
6237,City,33,Trip Completed,42566.74,42566.78,17.00,,,,,,,,
738,City,34,Trip Completed,42562.65,42562.70,15.00,,,,,,,,
2731,City,34,Trip Completed,42564.11,42564.14,2.00,,,,,,,,
2863,Airport,34,Trip Completed,42564.24,42564.27,5.00,,,,,,,,
3528,Airport,34,Trip Completed,42564.74,42564.76,17.00,,,,,,,,
4653,City,34,Trip Completed,42565.50,42565.54,11.00,,,,,,,,
5042,City,34,Trip Completed,42565.81,42565.84,19.00,,,,,,,,
360,Airport,35,Trip Completed,42562.33,42562.38,8.00,,,,,,,,
771,Airport,35,Trip Completed,42562.68,42562.73,16.00,,,,,,,,
1274,City,35,Trip Completed,42562.92,42562.97,22.00,,,,,,,,
1501,City,35,Trip Completed,42563.24,42563.28,5.00,,,,,,,,
1972,City,35,Trip Completed,42563.52,42563.53,12.00,,,,,,,,
2871,City,35,Trip Completed,42564.25,42564.29,5.00,,,,,,,,
3395,City,35,Trip Completed,42564.62,42564.65,14.00,,,,,,,,
3572,City,35,Trip Completed,42564.77,42564.81,18.00,,,,,,,,
4118,Airport,35,Trip Completed,42565.19,42565.23,4.00,,,,,,,,
4739,City,35,Trip Completed,42565.62,42565.65,14.00,,,,,,,,
6556,City,35,Trip Completed,42566.88,42566.90,21.00,,,,,,,,
6677,Airport,35,Trip Completed,42566.94,42566.97,22.00,,,,,,,,
1104,Airport,36,Trip Completed,42562.85,42562.89,20.00,,,,,,,,
1596,Airport,36,Trip Completed,42563.28,42563.31,6.00,,,,,,,,
1835,Airport,36,Trip Completed,42563.40,42563.44,9.00,,,,,,,,
2110,Airport,36,Trip Completed,42563.68,42563.72,16.00,,,,,,,,
2759,Airport,36,Trip Completed,42564.16,42564.19,3.00,,,,,,,,
3010,Airport,36,Trip Completed,42564.31,42564.36,7.00,,,,,,,,
3403,City,36,Trip Completed,42564.64,42564.66,15.00,,,,,,,,
3856,Airport,36,Trip Completed,42564.90,42564.93,21.00,,,,,,,,
4472,City,36,Trip Completed,42565.36,42565.41,8.00,,,,,,,,
5199,City,36,Trip Completed,42565.87,42565.92,20.00,,,,,,,,
5612,City,36,Trip Completed,42566.26,42566.30,6.00,,,,,,,,
6614,Airport,36,Trip Completed,42566.90,42566.96,21.00,,,,,,,,
191,Airport,37,Trip Completed,42562.25,42562.28,5.00,,,,,,,,
333,City,37,Trip Completed,42562.32,42562.37,7.00,,,,,,,,
488,Airport,37,Trip Completed,42562.40,42562.43,9.00,,,,,,,,
1780,City,37,Trip Completed,42563.37,42563.41,8.00,,,,,,,,
2235,Airport,37,Trip Completed,42563.76,42563.80,18.00,,,,,,,,
2516,City,37,Trip Completed,42563.88,42563.93,21.00,,,,,,,,
4209,City,37,Trip Completed,42565.23,42565.28,5.00,,,,,,,,
4726,City,37,Trip Completed,42565.58,42565.63,13.00,,,,,,,,
5088,Airport,37,Trip Completed,42565.83,42565.88,19.00,,,,,,,,
